序号,分类,型号,标题,大小,分辨率,背光,类型,介质,亮度,对比度,Operating Temperature (oC),Storage Temperature (oC),应用,网址,Mass (g):,Outer Dimension (mm):,特性1,特性2
1,TFT Digital,TG035QVLQAANN-GN00,320X240分辨率，3.5寸，1200高亮度全透，24位RGB工业TFT,3.5,320X240,LED,Transmissive,24bits RGB/SPI,1200,1000:01:00,-20 to 70,-30 to 80,"LED, Super High Bright, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=TG035QVLQAANN-GN00,40,76.9 (W)  x 63.9 (H)  x 4.9 (D) ,Monochrome TFT,Super High Brightness (1200nits)
2,TFT Digital,TCG035QVLPDANN-GN50,320X240分辨率，3.5寸，1000高亮度全透，24位RGB工业TFT,3.5,320X240,LED,Transmissive,24bits RGB/SPI,1000,1000:01:00,-20 to 70,-30 to 80,"High Bright, LED, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=TCG035QVLPDANN-GN50,45,76.9 (W)  x 63.9 (H)  x 4.9 (D) ,Super High Brightness for outdoor application (1000nits),
3,TFT Digital,TCG035QVLPAANN-AN00,320X240分辨率，3.5寸，400亮度全透，24位RGB工业TFT,3.5,320X240,LED,Transmissive,24bits RGB/SPI,400,1000:01:00,-20 to 70,-30 to 80,"LED, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=TCG035QVLPAANN-AN00,40,76.9 (W)  x 63.9 (H)  x 4.9 (D) ,,
4,TFT Digital,TCG035QVLPAAFA-AA00,320X240分辨率，3.5寸，320亮度全透，24位RGB工业TFT,3.5,320X240,LED,Transmissive,24bits RGB/SPI,320,1000:01:00,-20 to 70,-30 to 80,"LED, 4-wire resistive TTS, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=TCG035QVLPAAFA-AA00,50,76.9 (W)  x 63.9 (H)  x 6.3 (D) ,4-wire resistive film touch screen,"3.5"" QVGA resolution"
5,TFT Digital,TCG043WQLBAANN-GN50,480X272分辨率，4.3寸，800高亮度全透，CMOS工业TFT,4.3,480X272,LED,Transmissive,CMOS,800,350:01:00,-20 to 70,-30 to 80,"High Bright, LED, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=TCG043WQLBAANN-GN50,75,105.5 (W)  x 67.2 (H)  x 5.9 (D) ,High bright for outdoor application,100K hour LED lifetime
6,TFT Digital,TCG043WQLBAANN-GN00,480X272分辨率，4.3寸，450亮度全透，CMOS工业TFT,4.3,480X272,LED,Transmissive,CMOS,450,350:01:00,-20 to 70,-30 to 80,"LED, Side Mount, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=TCG043WQLBAANN-GN00,75,105.5 (W)  x 67.2 (H)  x 5.9 (D) ,100K hour LED lifetime,Wide Operating temperature range
7,TFT Digital,TCG043WQLBAAFA-GA50,480X272分辨率，4.3寸，640亮度全透，CMOS工业TFT,4.3,480X272,LED,Transmissive,CMOS,640,350:01:00,-20 to 70,-30 to 80,"High Bright, LED, 4-wire resistive TTS, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=TCG043WQLBAAFA-GA50,100,105.5 (W)  x 67.2 (H)  x 7.7 (D) ,With 4-wire resistive film touch sreen,"4.3"" WQVGA resolution"
8,TFT Digital,TCG043WQLBAAFA-GA00,480X272分辨率，4.3寸，360亮度全透，CMOS工业TFT,4.3,480X272,LED,Transmissive,CMOS,360,350:01:00,-20 to 70,-30 to 80,"LED, 4-wire resistive TTS, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=TCG043WQLBAAFA-GA00,100,105.5 (W)  x 67.2 (H)  x 7.7 (D) ,With 4-wire resistive touch screen ,"4.3"" WQVGA TFT-LCD"
9,TFT Digital,TG057QVLGF-G00,320X240分辨率，5.7寸，1100高亮度全透，18位RGB工业TFT,5.7,320X240,LED,Transmissive,18-bit RGB Interface,1100,400:01:00,-20 to 70,-30 to 80,"LED, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=TG057QVLGF-G00,140,134.5 (W)  x 103.4 (H)  x 8 (D) ,Monochrome TFT,
10,TFT Digital,TCG057VGLGA-G50,640X480分辨率，5.7寸，800高亮度全透，CMOS工业TFT,5.7,640X480,,Transmissive,CMOS,800,500:01:00,-20 to 70,-30 to 80,"High Bright, LED, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=TCG057VGLGA-G50,145,134.5 (W)  x 103.4 (H)  x 8 (D) ,High brightness,
11,TFT Digital,TCG057VGLGA-G00,640X480分辨率，5.7寸，400亮度全透，18位RGB工业TFT,5.7,640X480,LED,Transmissive,18-bit RGB Interface,400,500:01:00,-20 to 70,-30 to 80,"LED, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=TCG057VGLGA-G00,,134.5 (W)  x 103.4 (H)  x 8 (D) ,,
12,TFT Digital,TCG057VGLAAANN-GN20,640X480分辨率，5.7寸，450亮度全透，LVDS工业TFT,5.7,640X480,LED,Transmissive,LVDS,450,500:01:00,-20 to 70,-30 to 80,"LED, Built-in LED Driver, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=TCG057VGLAAANN-GN20,110,127.2 (W)  x 100.4 (H)  x 5.99 (D) ,Ultra thin profile,LED driver built-in with PWM dimming control  
13,TFT Digital,TCG057QVLHA-G50,320X240分辨率，5.7寸，1000高亮度全透，CMOS工业TFT,5.7,320X240,LED,Transmissive,CMOS,1000,500:01:00,-20 to 70,-30 to 80,"LED, Super High Bright, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=TCG057QVLHA-G50,,134.5 (W)  x 103.4 (H)  x 8 (D) ,Super High Brightness (1000nits) for outdoor application,100K hour LED lifetime
14,TFT Digital,TCG057QVLGA-G00,320X240分辨率，5.7寸，500亮度全透，18位RGB工业TFT,5.7,320X240,LED,Transmissive,18-bit RGB Interface,500,500:01:00,-20 to 70,-30 to 80,"LED, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=TCG057QVLGA-G00,,134.5 (W)  x 103.4 (H)  x 8 (D) ,,
15,TFT Digital,TCG057QVLCT-H50,320X240分辨率，5.7寸，800亮度全透，CMOS工业TFT,5.7,320X240,LED,Transmissive,CMOS,800,500:01:00,-20 to 70,-30 to 80,"High Bright, LED, 4-wire resistive TTS, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=TCG057QVLCT-H50,250,144 (W)  x 104.8 (H)  x 14.8 (D) ,With 4-wire resistive touch screen,
16,TFT Digital,T-55548GD057JU-LW-ACN,640X480分辨率，5.7寸，400亮度全透，18位RGB工业TFT,5.7,640X480,LED,Transmissive,18-bit RGB Interface,400,500:01:00,-20 to 70,-30 to 80,"LED, 4-wire resistive TTS, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=T-55548GD057JU-LW-ACN,,143.2 (W)  x 103.8 (H)  x 11.6 (D) ,"5.7"" VGA TFT LCD",4 wire resistive touch screen
17,TFT Digital,T-55548GD057JU-LW-ABN,640X480分辨率，5.7寸，500亮度全透，CMOS工业TFT,5.7,640X480,LED,Transmissive,CMOS,500,500:01:00,-20 to 70,-30 to 80,"LED, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=T-55548GD057JU-LW-ABN,180,143.2 (W)  x 103.8 (H)  x 12.1 (D) ,VGA resolution,Long life LED backlight (50K hours)
18,TFT Digital,T-55520GD057J-LW-ACN,320X240分辨率，5.7寸，800亮度全透，CMOS工业TFT,5.7,320X240,LED,Transmissive,CMOS,800,350:01:00,-20 to 70,-30 to 80,"High Bright, LED, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=T-55520GD057J-LW-ACN,255,144.0 (W)  x 104.6 (H)  x 13.5 (D) ,High bright LED backlighting (800cd/m2),Long LED lifetieme (50K hours)
19,TFT Digital,T-55265GD057J-LW-ADN,320X240分辨率，5.7寸，500亮度全透，CMOS工业TFT,5.7,320X240,LED,Transmissive,CMOS,500,350:01:00,-20 to 70,-30 to 80,"LED, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=T-55265GD057J-LW-ADN,255,144.0 (W)  x 104.6 (H)  x 13.5 (D) ,LED backlighting,Standard 18-bit RGB interface
20,TFT Digital,T-55265GD057J-LW-ACN,320X240分辨率，5.7寸，400亮度全透，CMOS工业TFT,5.7,320X240,LED,Transmissive,CMOS,400,350:01:00,-20 to 70,-30 to 70,"LED, 4-wire resistive TTS, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=T-55265GD057J-LW-ACN,306,144.0 (W)  x 104.6 (H)  x 15.1 (D) ,LED backlighting,4-wire resistive touch screen
21,TFT Digital,T-55620GD057JU-LW-AAN,640X480分辨率，5.7寸，500亮度全透，LVDS工业TFT,5.7,640X480,LED,Transmissive,LVDS,500,500:01:00,-20 to 70,-30 to 80,"LED, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=T-55620GD057JU-LW-AAN,180,143.2 (W)  x 103.8 (H)  x 11.6 (D) ,LVDS interface,long lifetime LED backlight of 50K hours  (min)
22,TFT Digital,TCG062HVLQAVNN-GN20,640X240分辨率，6.2寸，500亮度全透，LVDS工业TFT,6.2,640X240,LED,Transmissive,LVDS,500,500:01:00,-20 to 70,-30 to 80,"LED, Advanced-Wide-View, Built-in LED Driver, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=TCG062HVLQAVNN-GN20,115,173 (W)  x 70 (H)  x 6.7 (D) ,AWV Technology for wide viewing angle ( 85/85/85/85),Built-in LED driver
23,TFT Digital,TCG062HVLDA-G20,640X240分辨率，6.2寸，300亮度全透，18位RGB工业TFT,6.2,640X240,LED,Transmissive,18-bit RGB Interface,300,500:01:00,-20 to 70,-30 to 80,"LED, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=TCG062HVLDA-G20,105,173 (W)  x 70 (H)  x 6.7 (D) ,,
24,TFT Digital,T-51750GD065J-LW-BHN,640X480分辨率，6.5寸，800亮度全透，CMOS工业TFT,6.5,640X480,LED,Transmissive,CMOS,800,800:01:00,-20 to 70,-20 to 70,"High Bright, LED, 4-wire resistive TTS, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=T-51750GD065J-LW-BHN,223,158.0 (W)  x 120.36 (H)  x 10.75 (D) ,4-wire resistive touch screen,high brightness LED backlight
25,TFT Digital,T-51750GD065J-LW-BGN,640X480分辨率，6.5寸，1000高亮度全透，CMOS工业TFT,6.5,640X480,LED,Transmissive,CMOS,1000,800:01:00,-20 to 70,-20 to 70,"High Bright, LED, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=T-51750GD065J-LW-BGN,230,158.0 (W)  x 120.36 (H)  x 10.75 (D) ,LED backlighting,High bright panel
26,TFT Digital,T-51750GD065J-LW-BFN,640X480分辨率，6.5寸，600亮度全透，CMOS工业TFT,6.5,640X480,LED,Transmissive,CMOS,600,800:01:00,-25 to 75,-25 to 85,"High Bright, LED, Anti-Reflective Surface, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=T-51750GD065J-LW-BFN,223,158.0 (W)  x 120.36 (H)  x 10.75 (D) ,Anti-Reflective Surface ,LED backlighting
27,TFT Digital,T-55619GD065J-LW-ABN,640X480分辨率，6.5寸，750亮度全透，LVDS工业TFT,6.5,640X480,LED,Transmissive,LVDS,750,300:01:00,-20 to 70,-20 to 70,"High Bright, LED, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=T-55619GD065J-LW-ABN,230,158.0 (W)  x 120.36 (H)  x 10.5 (D) ,LVDS interface,High Brightness with long lifetime LED backlights (70K hours minimal)
28,TFT Digital,TCG066AALPAANN-GN00,92X800分辨率，6.6寸，400亮度全透，CMOS工业TFT,6.6,92X800,LED,Transmissive,CMOS,400,800:01:00,-20 to 70,-30 to 80,"LED, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=TCG066AALPAANN-GN00,,27.75 (W)  x 196.9 (H)  x 6.3 (D) ,,
29,TFT Digital,TCG070WVLSJPPB-GA20,800X480分辨率，7寸，500亮度全透，LVDS工业TFT,7,800X480,LED,Transmissive,LVDS,500,650:01:00,-20 to 70,-30 to 80,"LED, Advanced-Wide-View, Built-in LED Driver, Industrial, On-cell PCAP, Cover Glass ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=TCG070WVLSJPPB-GA20,305,169.8 (W)  x 109.7 (H)  x (10.25) (D) ,On-Cell Touch Technology with I2C interface,Cover glass with Anti-Glare treatment
30,TFT Digital,TCG070WVLSJPPA-GD20,800X480分辨率，7寸，500亮度全透，LVDS工业TFT,7,800X480,LED,Transmissive,LVDS,500,650:01:00,-20 to 70,-30 to 80,"LED, Advanced-Wide-View, Built-in LED Driver, Industrial, On-cell PCAP ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=TCG070WVLSJPPA-GD20,260,169.8 (W)  x 109.7 (H)  x 9.2 (D) ,On-Cell Touch Technology with I2C interface,Advanced Wide View Technology ( 85/85/85/85)
31,TFT Digital,TCG070WVLQEPNN-AN20,800X480分辨率，7寸，350亮度全透，LVDS工业TFT,7,800X480,LED,Transmissive,LVDS,350,650:01:00,-20 to 70,-30 to 80,"LED, Advanced-Wide-View, Built-in LED Driver, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=TCG070WVLQEPNN-AN20,205,165 (W)  x 104.4 (H)  x 8.6 (D) ,Advanced Wide Viewing technology (85/85/85/85),LED backlight with LED driver built-in
32,TFT Digital,TCG070WVLQAPNN-AN04,800X480分辨率，7寸，500亮度全透，CMOS工业TFT,7,800X480,LED,Transmissive,CMOS,500,500:01:00,-20 to 70,-30 to 80,"LED, Advanced-Wide-View, Built-in LED Driver, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=TCG070WVLQAPNN-AN04,200,165 (W)  x 104.4 (H)  x 8.2 (D) ,AWV technology ( 85/85/85/85),
33,TFT Digital,TCG070WVLQAPNN-AN00,800X480分辨率，7寸，350亮度全透，CMOS工业TFT,7,800X480,LED,Transmissive,CMOS,350,500:01:00,-20 to 70,-30 to 80,"LED, Advanced-Wide-View, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=TCG070WVLQAPNN-AN00,200,165 (W)  x 104.4 (H)  x 8.2 (D) ,,
34,TFT Digital,TCG070WVLQAPFA-AA00,800X480分辨率，7寸，280亮度全透，CMOS工业TFT,7,800X480,LED,Transmissive,CMOS,280,500:01:00,-20 to 70,-30 to 80,"LED, 4-wire resistive TTS, Advanced-Wide-View, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=TCG070WVLQAPFA-AA00,255,165 (W)  x 104.4 (H)  x 10 (D) ,With 4-wire resistive touch screen,AWV wide viewing angle ( 85/85/85/85)
35,TFT Digital,TCG070WVLPEANN-AN50,800X480分辨率，7寸，700亮度全透，LVDS工业TFT,7,800X480,LED,Transmissive,LVDS,700,1000:01:00,-20 to 70,-30 to 80,"High Bright, LED, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=TCG070WVLPEANN-AN50,205,165 (W)  x 104.4 (H)  x 8.6 (D) ,,
36,TFT Digital,TCG070WVLPEANN-AN30,800X480分辨率，7寸，700亮度全透，LVDS工业TFT,7,800X480,LED,Transmissive,LVDS,700,1000:01:00,-20 to 70,-30 to 80,"High Bright, LED, Built-in LED Driver, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=TCG070WVLPEANN-AN30,210,165 (W)  x 104.4 (H)  x 8.6 (D) ,Hight brightness LED backlight with LED driver built-in,LVDS interface
37,TFT Digital,TCG070WVLPEANN-AN20,800X480分辨率，7寸，350亮度全透，LVDS工业TFT,7,800X480,LED,Transmissive,LVDS,350,1000:01:00,-20 to 70,-30 to 80,"LED, Built-in LED Driver, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=TCG070WVLPEANN-AN20,205,165 (W)  x 104.4 (H)  x 8.6 (D) ,LED backlight with built-in LED drvier,LVDS interface
38,TFT Digital,TCG070WVLPEANN-AN00,800X480分辨率，7寸，350亮度全透，LVDS工业TFT,7,800X480,LED,Transmissive,LVDS,350,1000:01:00,-20 to 70,-30 to 80,"LED, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=TCG070WVLPEANN-AN00,205,165 (W)  x 104.4 (H)  x 8.6 (D) ,,
39,TFT Digital,TCG070WVLPEAFA-AA30,800X480分辨率，7寸，560亮度全透，LVDS工业TFT,7,800X480,LED,Transmissive,LVDS,560,1000:01:00,-20 to 70,-30 to 80,"LED, 4-wire resistive TTS, Built-in LED Driver, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=TCG070WVLPEAFA-AA30,265,165 (W)  x 104.4 (H)  x 10.4 (D) ,With 4-wire resistive touch screen,Built-in LED driver ( CCC)
40,TFT Digital,TCG070WVLPEAFA-AA20,800X480分辨率，7寸，280亮度全透，LVDS工业TFT,7,800X480,LED,Transmissive,LVDS,280,1000:01:00,-20 to 70,-30 to 80,"LED, 4-wire resistive TTS, Built-in LED Driver, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=TCG070WVLPEAFA-AA20,260,165 (W)  x 104.4 (H)  x 10.4 (D) ,With 4-wire resistive touch screen,With built-in constant current circuit for LED backlight
41,TFT Digital,TCG070WVLPCANN-AN00,800X480分辨率，7寸，350亮度全透，CMOS工业TFT,7,800X480,LED,Transmissive,CMOS,350,1000:01:00,-20 to 70,-30 to 80,"LED, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=TCG070WVLPCANN-AN00,195,165 (W)  x 104.4 (H)  x 8.2 (D) ,,
42,TFT Digital,TCG070WVLPAANN-AN50,800X480分辨率，7寸，700亮度全透，CMOS工业TFT,7,800X480,LED,Transmissive,CMOS,700,1000:01:00,-20 to 70,-30 to 80,"High Bright, LED, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=TCG070WVLPAANN-AN50,195,165 (W)  x 104.4 (H)  x 8.2 (D) ,,
43,TFT Digital,TCG070WVLPAANN-AN00,800X480分辨率，7寸，350亮度全透，CMOS工业TFT,7,800X480,LED,Transmissive,CMOS,350,1000:01:00,-20 to 70,-30 to 80,"LED, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=TCG070WVLPAANN-AN00,195,165 (W)  x 10404 (H)  x 8.2 (D) ,,
